Error,Épocas,Clase
0.4,47800, Validation error
0.30000000000000004,47800,Test error
0.3125,48000,Train error
0.44999999999999996,48000, Validation error
0.31999999999999995,48000,Test error
0.3375,48200,Train error
0.4,48200, Validation error
0.30000000000000004,48200,Test error
0.3375,48400,Train error
0.4,48400, Validation error
0.30000000000000004,48400,Test error
0.3125,48600,Train error
0.44999999999999996,48600, Validation error
0.31999999999999995,48600,Test error
0.3125,48800,Train error
0.44999999999999996,48800, Validation error
0.31999999999999995,48800,Test error
0.3375,49000,Train error
0.4,49000, Validation error
0.30000000000000004,49000,Test error
0.3375,49200,Train error
0.4,49200, Validation error
0.30000000000000004,49200,Test error
0.3125,49400,Train error
0.44999999999999996,49400, Validation error
0.31999999999999995,49400,Test error
0.3125,49600,Train error
0.44999999999999996,49600, Validation error
0.31999999999999995,49600,Test error
0.3125,49800,Train error
0.44999999999999996,49800, Validation error
0.31999999999999995,49800,Test error
0.3375,50000,Train error
0.4,50000, Validation error
0.30000000000000004,50000,Test error
0.3375,50200,Train error
0.4,50200, Validation error
0.30000000000000004,50200,Test error
0.3375,50400,Train error
0.4,50400, Validation error
0.30000000000000004,50400,Test error
0.3125,50600,Train error
0.44999999999999996,50600, Validation error
0.31999999999999995,50600,Test error
0.3375,50800,Train error
0.4,50800, Validation error
0.30000000000000004,50800,Test error
0.3125,51000,Train error
0.44999999999999996,51000, Validation error
0.31999999999999995,51000,Test error
0.3375,51200,Train error
0.4,51200, Validation error
0.30000000000000004,51200,Test error
0.3375,51400,Train error
0.4,51400, Validation error
0.30000000000000004,51400,Test error
0.3375,51600,Train error
0.4,51600, Validation error
0.30000000000000004,51600,Test error
0.3375,51800,Train error
0.4,51800, Validation error
0.30000000000000004,51800,Test error
0.3125,52000,Train error
0.44999999999999996,52000, Validation error
0.31999999999999995,52000,Test error
0.3375,52200,Train error
0.4,52200, Validation error
0.30000000000000004,52200,Test error
0.3125,52400,Train error
0.44999999999999996,52400, Validation error
0.31999999999999995,52400,Test error
0.3125,52600,Train error
0.44999999999999996,52600, Validation error
0.31999999999999995,52600,Test error
0.3375,52800,Train error
0.4,52800, Validation error
0.30000000000000004,52800,Test error
0.3125,53000,Train error
0.44999999999999996,53000, Validation error
0.31999999999999995,53000,Test error
0.3375,53200,Train error
0.4,53200, Validation error
0.30000000000000004,53200,Test error
0.3125,53400,Train error
0.44999999999999996,53400, Validation error
0.31999999999999995,53400,Test error
0.3125,53600,Train error
0.44999999999999996,53600, Validation error
0.31999999999999995,53600,Test error
0.3375,53800,Train error
0.4,53800, Validation error
0.30000000000000004,53800,Test error
0.3375,54000,Train error
0.4,54000, Validation error
0.30000000000000004,54000,Test error
0.3125,54200,Train error
0.44999999999999996,54200, Validation error
0.31999999999999995,54200,Test error
0.3375,54400,Train error
0.4,54400, Validation error
0.30000000000000004,54400,Test error
0.3375,54600,Train error
0.4,54600, Validation error
0.30000000000000004,54600,Test error
0.3125,54800,Train error
0.44999999999999996,54800, Validation error
0.31999999999999995,54800,Test error
0.3125,55000,Train error
0.44999999999999996,55000, Validation error
0.31999999999999995,55000,Test error
0.3125,55200,Train error
0.44999999999999996,55200, Validation error
0.31999999999999995,55200,Test error
0.3125,55400,Train error
0.44999999999999996,55400, Validation error
0.31999999999999995,55400,Test error
0.3375,55600,Train error
0.4,55600, Validation error
0.30000000000000004,55600,Test error
0.3375,55800,Train error
0.4,55800, Validation error
0.30000000000000004,55800,Test error
0.3375,56000,Train error
0.4,56000, Validation error
0.30000000000000004,56000,Test error
0.3375,56200,Train error
0.4,56200, Validation error
0.30000000000000004,56200,Test error
0.3125,56400,Train error
0.44999999999999996,56400, Validation error
0.31999999999999995,56400,Test error
0.3125,56600,Train error
0.44999999999999996,56600, Validation error
0.31999999999999995,56600,Test error
0.3125,56800,Train error
0.44999999999999996,56800, Validation error
0.31999999999999995,56800,Test error
0.3125,57000,Train error
0.44999999999999996,57000, Validation error
0.31999999999999995,57000,Test error
0.3375,57200,Train error
0.4,57200, Validation error
0.30000000000000004,57200,Test error
0.3375,57400,Train error
0.4,57400, Validation error
0.30000000000000004,57400,Test error
0.3375,57600,Train error
0.4,57600, Validation error
0.30000000000000004,57600,Test error
0.3125,57800,Train error
